epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,131.714,0.46425,0.23107,0.74066,0.8115,0.34961,0.45318,0.4049,0.22192,0.13906,0.78155,0.000198166,0.000198166,0.000198166
73,133.602,0.46166,0.23106,0.74021,0.81093,0.35144,0.46537,0.41318,0.18535,0.11343,0.78057,0.000191562,0.000191562,0.000191562
74,135.423,0.45669,0.23115,0.74154,0.52664,0.41069,0.48372,0.41543,0.23383,0.14594,0.78109,0.000184959,0.000184959,0.000184959
75,137.238,0.45694,0.22864,0.73944,0.48992,0.40311,0.47692,0.39437,0.38858,0.18092,0.78136,0.000178356,0.000178356,0.000178356
76,139.065,0.46114,0.22965,0.74314,0.4867,0.4121,0.48222,0.41472,0.22818,0.15047,0.7811,0.000171752,0.000171752,0.000171752
77,140.865,0.46378,0.22924,0.7403,0.49528,0.40942,0.47878,0.4285,0.27527,0.14024,0.78076,0.000165149,0.000165149,0.000165149
78,142.698,0.44684,0.22493,0.74149,0.49938,0.41278,0.4832,0.43562,0.20651,0.12731,0.78103,0.000158546,0.000158546,0.000158546
79,144.497,0.44148,0.22674,0.74008,0.48743,0.39547,0.46488,0.41175,0.28049,0.1561,0.7812,0.000151943,0.000151943,0.000151943
80,146.317,0.44531,0.22501,0.73971,0.48232,0.41309,0.47927,0.41636,0.22685,0.14994,0.78057,0.000145339,0.000145339,0.000145339
81,148.143,0.44531,0.22456,0.74048,0.48078,0.39839,0.46248,0.41022,0.25643,0.16097,0.78109,0.000138736,0.000138736,0.000138736
82,149.961,0.43616,0.21967,0.74032,0.51073,0.40416,0.48081,0.42134,0.2016,0.12766,0.78075,0.000132133,0.000132133,0.000132133
83,151.773,0.43891,0.21981,0.74108,0.47866,0.39142,0.45942,0.40037,0.26433,0.13405,0.78053,0.000125529,0.000125529,0.000125529
84,153.599,0.42191,0.21427,0.74245,0.5304,0.41144,0.48599,0.41613,0.20128,0.11258,0.78067,0.000118926,0.000118926,0.000118926
85,155.4,0.42879,0.21709,0.73988,0.48571,0.39003,0.45609,0.40419,0.2142,0.12351,0.78061,0.000112323,0.000112323,0.000112323
86,157.207,0.41189,0.20973,0.73984,0.90666,0.34802,0.45296,0.39521,0.23558,0.13222,0.78078,0.00010572,0.00010572,0.00010572
87,159.054,0.42589,0.21227,0.73989,0.48333,0.41018,0.46872,0.41057,0.22695,0.12207,0.78024,9.91162e-05,9.91162e-05,9.91162e-05
88,160.87,0.41204,0.21135,0.73945,0.48837,0.39725,0.46531,0.4093,0.23021,0.13333,0.78056,9.25129e-05,9.25129e-05,9.25129e-05
89,162.69,0.41536,0.21033,0.74075,0.50851,0.40567,0.47987,0.41859,0.24157,0.11768,0.78038,8.59096e-05,8.59096e-05,8.59096e-05
90,164.515,0.41225,0.21128,0.74006,0.50885,0.40503,0.48004,0.41732,0.2339,0.12737,0.78073,7.93063e-05,7.93063e-05,7.93063e-05
91,166.643,0.377,0.21013,0.74394,0.53088,0.39695,0.46452,0.4181,0.20426,0.11865,0.78054,7.2703e-05,7.2703e-05,7.2703e-05
92,168.525,0.34681,0.19671,0.74232,0.53566,0.39641,0.46684,0.41459,0.2064,0.14133,0.78034,6.60997e-05,6.60997e-05,6.60997e-05
93,170.341,0.33784,0.19125,0.74255,0.56385,0.401,0.48382,0.42983,0.21223,0.1252,0.77991,5.94964e-05,5.94964e-05,5.94964e-05
94,172.153,0.33399,0.1878,0.74198,0.51343,0.39638,0.47073,0.42465,0.18107,0.12006,0.77992,5.28931e-05,5.28931e-05,5.28931e-05
95,174.02,0.33109,0.18597,0.73846,0.53545,0.39641,0.46791,0.41021,0.19874,0.14035,0.77988,4.62898e-05,4.62898e-05,4.62898e-05
96,175.826,0.32499,0.18321,0.73965,0.48573,0.38934,0.45505,0.40777,0.15745,0.0952,0.77978,3.96865e-05,3.96865e-05,3.96865e-05
97,177.622,0.32246,0.18215,0.74014,0.81369,0.35031,0.45801,0.41345,0.17259,0.105,0.77993,3.30832e-05,3.30832e-05,3.30832e-05
98,179.424,0.32397,0.18237,0.73825,0.48704,0.38967,0.45569,0.41035,0.15893,0.09868,0.77986,2.64799e-05,2.64799e-05,2.64799e-05
99,181.227,0.31481,0.18052,0.73922,0.48465,0.38967,0.45444,0.40969,0.15919,0.09696,0.77979,1.98766e-05,1.98766e-05,1.98766e-05
100,183.055,0.31002,0.17535,0.74232,0.48486,0.38967,0.45482,0.41043,0.16146,0.09995,0.7798,1.32733e-05,1.32733e-05,1.32733e-05
